sourceId,推广组,推广计划,创意,点击日期,点击时间,广告位,URL,城市,省,exchange,竞价模式,扣费(元)
303KT1rdaAy0,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,14:23:36,首页底部导流_其他_其他_300x250_矩形_30k|北京时间左侧_文章内嵌矩形,http://item.btime.com/36sd2iaunsp9j08k5u6sq85hj8j?from=haoindex,温州,浙江,MAX精选,CPC,3.45
308kvF309bY0,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,14:27:26,浏览器新标签页导流_首页_首屏_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/35ihu86og729b7op4ar6hd9vpej?from=browser,其他,重庆,MAX精选,CPC,2.98
309O69Q401U0,A-36计2-防御为王-广告位计划,36计2-防御为王-2.88,防御为王300x250.swf,2017/05/22,14:55:57,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/327p8vpt7f99bc8qmf4p515ls6i?from=mini,中山,广东,MAX精选,CPC,3.25
30Aog2Ke0BU0,A-36计2-守卫家园-广告位计划,导航_娱乐频道搜索框下方矩形,300x250.swf,2017/05/22,14:07:57,导航_内容页_首屏_300x250_30k|娱乐频道搜索框下方矩形,http://yule.360.cn/list?tag=%E5%A4%96%E6%98%9F%E6%83%85%E6%8A%A5%E5%B1%80&tonality=%E5%A4%96%E6%98%9F%E6%83%85%E6%8A%A5%E5%B1%80,红河州,云南,MAX精选,CPC,0.77
30BYk8URJ7L0,A-36计2-防御为王-广告位计划,36计2-防御为王-5.0,防御为王300x250.swf,2017/05/22,14:51:46,首页底部导流_其他_其他_300x250_矩形_30k|北京时间左侧_文章内嵌矩形,http://item.btime.com/31aegg92pa18m4raf5704fsg5rb?from=haoindex,济南,山东,MAX精选,CPC,3.59
30C2rNGwca10,A-36计2-防御为王-广告位计划,36计2-防御为王-2.88,防御为王300x250.swf,2017/05/22,14:47:53,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/34c83c2mrlc94oabnin8k0mce1o?from=mini,东莞,广东,MAX精选,CPC,4.64
30F4fZolfB40,A-36计2-守卫家园-广告位计划,导航_娱乐频道内容页下拉跟随矩形02,300x250.swf,2017/05/22,14:11:06,导航_内容页_二屏_300x250_30k|娱乐频道内容页下拉跟随矩形02,http://yule.360.cn/content/124149?realtime,宁波,浙江,MAX精选,CPC,2.57
30fUliEjAAI0,A-36计2-守卫家园-广告位计划,已测广告位2.88,300x250.swf,2017/05/22,02:18:50,浏览器新标签页导流_首页_首屏_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/43e2ark187a802pmohs9j00vnij?from=browser,丽水,浙江,MAX精选,CPC,3.81
30J0CpAAkDy0,A-36计2-守卫家园-广告位计划,已测广告位2.88,300x250.swf,2017/05/22,14:23:17,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/322qtgoq14r9do90o42r125ru1i?from=mini,郑州,河南,MAX精选,CPC,3.87
30jqxW58d6j0,A-36计2-守卫家园-广告位计划,已测广告位2.88,300x250.swf,2017/05/22,14:51:40,浏览器mini弹窗导流_首页_其他_300x250_矩形_30k|北京时间右侧_固定图形2,http://item.btime.com/322qtgoq14r9do90o42r125ru1i?from=mini,保定,河北,MAX精选,CPC,2.68
